# DFF generated LAMMPS data file

1728 atoms
0 bonds
0 angles
0 dihedrals
0 impropers

2  atom types
0  bond types
0  angle types
0  dihedral types
0  improper types

      0.0000      28.8912   xlo xhi
      0.0000      28.8912   ylo yhi
     -0.0000      28.8912   zlo zhi

Masses

           1     40.0780   #   ca0+
           2     15.9994   #   o_

Atoms

         217         217           1     2.00000    14.44560    19.26080    -0.00000	      #     Ca217
         218         218           1     2.00000    14.44560    21.66840     2.40760	      #     Ca218
         219         219           1     2.00000    16.85320    19.26080     2.40760	      #     Ca219
         220         220           1     2.00000    16.85320    21.66840    -0.00000	      #     Ca220
         221         221           2     0.00000    16.85320    21.66840     2.40760	      #     O221
         222         222           2     0.00000    16.85320    19.26080    -0.00000	      #     O222
         223         223           2     0.00000    14.44560    21.66840    -0.00000	      #     O223
         224         224           2     0.00000    14.44560    19.26080     2.40760	      #     O224
         225         225           1     2.00000    19.26080    19.26080    -0.00000	      #     Ca225
         226         226           1     2.00000    19.26080    21.66840     2.40760	      #     Ca226
         227         227           1     2.00000    21.66840    19.26080     2.40760	      #     Ca227
         228         228           1     2.00000    21.66840    21.66840    -0.00000	      #     Ca228
         229         229           2     0.00000    21.66840    21.66840     2.40760	      #     O229
         230         230           2     0.00000    21.66840    19.26080    -0.00000	      #     O230
         231         231           2     0.00000    19.26080    21.66840    -0.00000	      #     O231
         232         232           2     0.00000    19.26080    19.26080     2.40760	      #     O232
         233         233           1     2.00000    24.07600    19.26080    -0.00000	      #     Ca233
         234         234           1     2.00000    24.07600    21.66840     2.40760	      #     Ca234
         235         235           1     2.00000    26.48360    19.26080     2.40760	      #     Ca235
         236         236           1     2.00000    26.48360    21.66840    -0.00000	      #     Ca236
         237         237           2     0.00000    26.48360    21.66840     2.40760	      #     O237
         238         238           2     0.00000    26.48360    19.26080    -0.00000	      #     O238
         239         239           2     0.00000    24.07600    21.66840    -0.00000	      #     O239
         240         240           2     0.00000    24.07600    19.26080     2.40760	      #     O240
         241         241           1     2.00000     0.00000    24.07600    -0.00000	      #     Ca241
         242         242           1     2.00000     0.00000    26.48360     2.40760	      #     Ca242
         243         243           1     2.00000     2.40760    24.07600     2.40760	      #     Ca243
         244         244           1     2.00000     2.40760    26.48360    -0.00000	      #     Ca244
         245         245           2     0.00000     2.40760    26.48360     2.40760	      #     O245
         246         246           2     0.00000     2.40760    24.07600    -0.00000	      #     O246
         247         247           2     0.00000     0.00000    26.48360    -0.00000	      #     O247
